2013-01-02,31520.0
2013-01-03,30860.0
2013-01-04,30500.0
2013-01-07,30400.0
2013-01-08,30000.0
2013-01-09,30000.0
2013-01-10,30600.0
2013-01-11,30660.0
2013-01-14,31040.0
2013-01-15,30240.0
2013-01-16,29840.0
2013-01-17,29380.0
2013-01-18,29600.0
2013-01-21,29080.0
2013-01-22,29600.0
2013-01-23,29460.0
2013-01-24,29060.0
2013-01-25,28340.0
2013-01-28,27440.0
2013-01-29,28180.0
2013-01-30,28800.0
2013-01-31,28960.0
2013-02-01,28820.0
2013-02-04,28740.0
2013-02-05,28700.0
2013-02-06,28540.0
2013-02-07,28400.0
2013-02-08,29240.0
2013-02-11,29240.0
2013-02-12,29360.0
2013-02-13,29740.0
2013-02-14,29800.0
2013-02-15,29960.0
2013-02-18,29800.0
2013-02-19,29840.0
2013-02-20,30900.0
2013-02-21,31000.0
2013-02-22,30600.0
2013-02-25,30600.0
2013-02-26,30540.0
2013-02-27,30540.0
2013-02-28,30880.0
2013-03-01,30880.0
2013-03-04,30780.0
2013-03-05,31000.0
2013-03-06,31200.0
2013-03-07,30400.0
2013-03-08,29980.0
2013-03-11,30160.0
2013-03-12,29880.0
2013-03-13,30540.0
2013-03-14,30400.0
2013-03-15,29600.0
2013-03-18,28900.0
2013-03-19,29500.0
2013-03-20,29200.0
2013-03-21,29140.0
2013-03-22,29100.0
2013-03-25,29900.0
2013-03-26,30180.0
2013-03-27,30080.0
2013-03-28,30200.0
2013-03-29,30540.0
2013-04-01,30240.0
2013-04-02,30500.0
2013-04-03,30420.0
2013-04-04,30120.0
2013-04-05,30100.0
2013-04-08,30400.0
2013-04-09,30560.0
2013-04-10,30420.0
2013-04-11,30800.0
2013-04-12,30340.0
2013-04-15,30460.0
2013-04-16,30560.0
2013-04-17,30360.0
2013-04-18,29660.0
2013-04-19,29500.0
2013-04-22,30060.0
2013-04-23,29660.0
2013-04-24,29720.0
2013-04-25,29880.0
2013-04-26,29720.0
2013-04-29,29620.0
2013-04-30,30400.0
2013-05-01,30400.0
2013-05-02,30560.0
2013-05-03,30700.0
2013-05-06,30280.0
2013-05-07,29860.0
2013-05-08,29760.0
2013-05-09,30300.0
2013-05-10,29520.0
2013-05-13,29540.0
2013-05-14,30000.0
2013-05-15,30000.0
2013-05-16,30160.0
2013-05-17,30160.0
2013-05-20,29940.0
2013-05-21,29840.0
2013-05-22,30180.0
2013-05-23,29680.0
2013-05-24,29720.0
2013-05-27,29780.0
2013-05-28,29680.0
2013-05-29,30240.0
2013-05-30,30880.0
2013-05-31,30760.0
2013-06-03,30640.0
2013-06-04,30800.0
2013-06-05,30420.0
2013-06-06,30420.0
2013-06-07,28540.0
2013-06-10,28500.0
2013-06-11,27780.0
2013-06-12,27700.0
2013-06-13,27140.0
2013-06-14,27380.0
2013-06-17,27320.0
2013-06-18,27740.0
2013-06-19,27380.0
2013-06-20,26580.0
2013-06-21,26500.0
2013-06-24,26260.0
2013-06-25,25940.0
2013-06-26,25220.0
2013-06-27,26780.0
2013-06-28,26840.0
2013-07-01,26520.0
2013-07-02,26700.0
2013-07-03,26020.0
2013-07-04,26340.0
2013-07-05,25340.0
2013-07-08,24520.0
2013-07-09,24740.0
2013-07-10,24960.0
2013-07-11,26240.0
2013-07-12,26240.0
2013-07-15,26260.0
2013-07-16,25960.0
2013-07-17,26400.0
2013-07-18,25840.0
2013-07-19,25460.0
2013-07-22,25460.0
2013-07-23,26140.0
2013-07-24,26300.0
2013-07-25,26300.0
2013-07-26,26060.0
2013-07-29,25660.0
2013-07-30,25800.0
2013-07-31,25600.0
2013-08-01,25600.0
2013-08-02,25720.0
2013-08-05,25480.0
2013-08-06,25080.0
2013-08-07,24440.0
2013-08-08,24340.0
2013-08-09,24600.0
2013-08-12,24640.0
2013-08-13,25800.0
2013-08-14,26000.0
2013-08-15,26000.0
2013-08-16,25900.0
2013-08-19,25720.0
2013-08-20,25380.0
2013-08-21,25120.0
2013-08-22,25100.0
2013-08-23,25900.0
2013-08-26,26000.0
2013-08-27,26080.0
2013-08-28,26180.0
2013-08-29,26880.0
2013-08-30,27360.0
2013-09-02,27020.0
2013-09-03,26740.0
2013-09-04,26800.0
2013-09-05,27300.0
2013-09-06,27380.0
2013-09-09,27460.0
2013-09-10,27920.0
2013-09-11,28040.0
2013-09-12,28200.0
2013-09-13,28120.0
2013-09-16,28500.0
2013-09-17,27720.0
2013-09-18,27720.0
2013-09-19,27720.0
2013-09-20,27720.0
2013-09-23,27200.0
2013-09-24,27460.0
2013-09-25,27280.0
2013-09-26,27440.0
2013-09-27,27320.0
2013-09-30,27340.0
2013-10-01,27640.0
2013-10-02,28360.0
2013-10-03,28360.0
2013-10-04,28360.0
2013-10-07,28720.0
2013-10-08,28600.0
2013-10-09,28600.0
2013-10-10,28600.0
2013-10-11,28860.0
2013-10-14,28760.0
2013-10-15,29140.0
2013-10-16,29000.0
2013-10-17,29260.0
2013-10-18,29440.0
2013-10-21,29280.0
2013-10-22,29100.0
2013-10-23,28840.0
2013-10-24,28980.0
2013-10-25,28980.0
2013-10-28,29640.0
2013-10-29,29800.0
2013-10-30,30000.0
2013-10-31,29300.0
2013-11-01,30000.0
2013-11-04,29980.0
2013-11-05,29700.0
2013-11-06,29020.0
2013-11-07,28740.0
2013-11-08,28200.0
2013-11-11,28560.0
2013-11-12,29120.0
2013-11-13,28380.0
2013-11-14,28480.0
2013-11-15,29240.0
2013-11-18,29480.0
2013-11-19,29780.0
2013-11-20,29400.0
2013-11-21,28800.0
2013-11-22,29000.0
2013-11-25,29300.0
2013-11-26,29580.0
2013-11-27,29400.0
2013-11-28,29880.0
2013-11-29,29880.0
2013-12-02,29340.0
2013-12-03,29220.0
2013-12-04,28640.0
2013-12-05,28800.0
2013-12-06,28560.0
2013-12-09,29080.0
2013-12-10,28800.0
2013-12-11,28400.0
2013-12-12,28200.0
2013-12-13,27800.0
2013-12-16,28000.0
2013-12-17,27900.0
2013-12-18,28020.0
2013-12-19,28540.0
2013-12-20,28540.0
2013-12-23,28660.0
2013-12-24,28300.0
2013-12-26,28160.0
2013-12-27,27920.0
2013-12-30,27440.0
2013-12-31,27440.0
2014-01-02,26180.0
2014-01-03,25920.0
2014-01-06,26140.0
2014-01-07,26080.0
2014-01-08,25820.0
2014-01-09,25500.0
2014-01-10,25440.0
2014-01-13,25900.0
2014-01-14,26260.0
2014-01-15,25980.0
2014-01-16,26020.0
2014-01-17,25840.0
2014-01-20,26320.0
2014-01-21,26480.0
2014-01-22,26560.0
2014-01-23,25980.0
2014-01-24,26140.0
2014-01-27,25840.0
2014-01-28,25660.0
2014-01-29,25600.0
2014-01-30,25600.0
2014-01-31,25600.0
2014-02-03,25440.0
2014-02-04,24980.0
2014-02-05,24740.0
2014-02-06,25180.0
2014-02-07,25500.0
2014-02-10,25540.0
2014-02-11,26220.0
2014-02-12,26140.0
2014-02-13,25960.0
2014-02-14,26020.0
2014-02-17,25700.0
2014-02-18,25900.0
2014-02-19,25800.0
2014-02-20,25720.0
2014-02-21,26600.0
2014-02-24,26560.0
2014-02-25,26680.0
2014-02-26,26840.0
2014-02-27,26820.0
2014-02-28,26980.0
2014-03-03,26500.0
2014-03-04,26300.0
2014-03-05,26600.0
2014-03-06,26520.0
2014-03-07,26780.0
2014-03-10,26400.0
2014-03-11,26440.0
2014-03-12,25880.0
2014-03-13,25800.0
2014-03-14,25500.0
2014-03-17,25320.0
2014-03-18,25560.0
2014-03-19,25380.0
2014-03-20,25240.0
2014-03-21,25460.0
2014-03-24,25460.0
